AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
17,-16,1,0,-2,0,0,0,0,8,-3,0,0,0,0,0,17,0,0,0,0,15,0,-5,0,0,0,-3,0
0,-10,0,0,-2,0,0,0,-3,0,-1,0,0,0,0,0,17,0,0,0,0,27,0,0,0,0,0,-6,0
17,-11,0,0,0,0,0,0,-1,0,-4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,-8,0
2,-11,0,0,-3,0,0,0,-3,0,-2,0,0,0,0,0,26,0,0,1,0,29,0,-1,0,0,0,-5,0
1,-11,0,0,-3,0,0,0,-3,0,-2,0,0,0,0,0,26,0,0,1,0,29,0,-1,0,0,0,-5,0
1,-11,0,0,-3,0,0,0,-3,0,-2,0,0,0,0,0,26,0,0,0,0,29,0,-1,0,0,0,-5,0
17,-16,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,-10,0
22,-18,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,-2,0,0,-9,0
19,-18,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,5,0,0,0,0,25,0,0,0,0,0,-8,0
20,-19,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,-3,0,0,0,-10,0
19,-19,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30,0,-3,0,0,0,-10,0
19,-17,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,-4,0,0,0,-8,0
0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,-4,0,0,0,-8,17
19,-19,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,23,0,-1,0,0,0,-11,3
19,-19,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,23,0,-1,0,0,0,-11,4
18,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,21,0,-3,0,0,0,-8,0
17,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20,0,-4,0,0,0,-7,0
16,-14,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,20,0,-5,0,0,0,-4,0
16,-14,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,-5,0,0,0,-4,0
